drug,ID,Mean,Sigma
Pro,1,80.87310775014848,10.547813524801011
Pro,2,57.69271959485137,6.747943167976674
Pro,3,-5.42705461350807,41.74013969349656
Pro,4,62.35158386113319,9.782972401000896
Pro,5,55.07102419845844,3.272749229308533
Pro,6,92.58093230160839,2.4509453784266095
Pro,7,43.07518280098905,13.791190495352996
Pro,8,71.08924779544103,26.920837059195243
Pro,9,103.94928309286655,28.458953699290813
Pro,10,49.9722176490527,12.993987039438881
Pro,11,76.94057726044633,10.299667608121807
Pro,12,51.6935286341392,9.981326501597827
Pro,13,44.82126249982532,16.25616890091494
Pro,14,72.89804628375465,11.547323443579426
Pro,15,64.27556176581575,3.123883167454433
Pro,16,73.3571724120045,20.93230799418317
Pro,17,72.3799902959071,9.379912457589835
Pro,18,53.815136224634955,14.994232021378817
Pro,19,61.658471530426525,20.05985010535402
Pro,20,69.75776480476875,13.536861635035883
Pro,21,78.4615249701529,10.441716723271613
Pro,22,36.74982660025056,9.809043510161365
Pro,23,67.46955497028377,4.658001787178329
Pro,24,78.94205549327255,5.966585337834928
Pro,25,82.42711371638993,7.86201515993605
Pro,26,83.56175127970107,12.782583828438803
Pro,27,91.5748718777913,23.71244290341271
Pro,28,51.71025520662069,13.204329857119601
Pro,29,75.70939914411244,7.147508559682207
Pro,30,104.16016443487212,14.74290349129219
Pro,31,83.26372728946039,5.072957625750604
Pro,32,88.35446903958352,4.456183712167622
Pro,33,79.54280600893915,9.611804894404612
Pro,34,74.73107210916285,10.256710092315942
Pro,35,62.48909236357153,12.010005373999808
Pro,36,44.56137041852581,14.223601832774982
Pro,37,69.24344609725101,3.1604258910311698
Pro,38,54.806836222261865,14.99104728115378
Pro,39,53.50245379035157,2.863029251407088
Pro,40,84.79817299712845,4.647263621912232
Pro,41,64.53003371866025,18.821884710110396
Pro,42,92.70621938829498,15.249909142439673
Pro,43,81.21120830471537,6.999523150274976
Pro,44,67.51431071699604,7.295728828046901
Pro,45,37.22044509133407,20.84792154213254
Pro,46,84.153596732465,3.2436228392265756
Pro,47,65.74948597265731,5.294333289800495
Pro,48,86.4759604405678,2.9107511648592643
Pro,49,60.741949142239505,3.1158633672670444
Pro,50,64.36125507275233,8.336194471198443
Pro,51,58.88272393526091,22.057092794616864
Lid,1,63.617834541488804,9.221934556194718
Lid,2,68.11248474470506,7.292261268389916
Lid,3,11.332467722631483,31.794035220837216
Lid,4,66.07074983199576,6.250595290272765
Lid,5,71.83996896825049,5.379636317542382
Lid,6,80.42636920016837,12.156450448238804
Lid,7,32.138597858469545,29.811264597363213
Lid,8,59.621880482972,18.38731669634103
Lid,9,31.075419542770035,14.886201672988564
Lid,10,59.01441244839644,10.711333500650829
Lid,11,42.71771732099574,9.734082999073387
Lid,12,46.91646295493079,13.662157679058314
Lid,13,50.634557541439285,23.665009916221265
Lid,14,47.69159401836532,14.490279851134222
Lid,15,67.94837764507734,7.0419150477240455
Lid,16,34.282641761199244,19.7254665722056
Lid,17,60.6135313010456,10.092299757884486
Lid,18,55.45651272426325,17.17385598923385
Lid,19,52.543602708147176,25.095664327369512
Lid,20,71.63677358595822,13.668546524431367
Lid,21,65.16678915583215,11.209396507743183
Lid,22,36.07852865952385,11.758050144616549
Lid,23,70.90708251542407,14.027177957928135
Lid,24,68.9782896523271,8.172954178479237
Lid,25,76.29965747983125,10.575824693303463
Lid,26,68.34968477883832,14.419880820024208
Lid,27,74.34885955491384,28.36218903546846
Lid,28,62.547761318547934,4.8884780275047
Lid,29,78.8280319986153,8.682239032949834
Lid,30,66.88607638589704,17.656883009023595
Lid,31,73.48746108413364,12.751952359490739
Lid,32,68.15567371559102,12.448580430645478
Lid,33,67.64524104776277,19.40073644901198
Lid,34,69.64285438771375,13.635489179589893
Lid,35,52.224531063240434,7.828267499363542
Lid,36,56.0689156158476,5.590580686007668
Lid,37,70.53204415131958,17.919807853845
Lid,38,56.55738753677021,13.427780568673935
Lid,39,64.601821924673,6.005621454482975
Lid,40,63.42142502648093,10.396983553593962
Lid,41,55.005548203849585,6.8209146617137355
Lid,42,81.14034105001336,10.981282148714346
